city,district,district1,district2,name,area,month,day,price,floor,built,road_name
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,136.34,200609,22,"128,000",7,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,136.34,200609,22,"117,800",1,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.76,200609,25,"59,500",1,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200609,25,"89,000",10,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200609,25,"81,000",4,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200609,26,"86,000",6,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.39,200609,27,"63,000",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,136.34,200609,27,"137,000",11,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200609,27,"60,000",11,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200609,27,"82,000",10,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200609,29,"83,000",11,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200610,1,"59,000",2,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200610,9,"85,500",12,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.39,200610,14,"65,000",8,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,131.08,200610,16,"135,000",10,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,84.96,200610,16,"90,000",11,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.04,200610,16,"83,900",9,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200610,16,"87,000",12,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.04,200610,17,"86,200",2,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200610,17,"85,000",2,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200610,19,"60,000",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200610,19,"62,000",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200610,19,"87,000",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200610,20,"85,000",2,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200610,20,"90,000",8,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,82.06,200610,20,"62,000",5,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200610,21,"90,000",2,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200610,21,"63,000",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,82.06,200610,23,"64,000",5,1981,올림픽로4길 42
